logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 1.000000000000000000e+03 -5.940444124480515165e+04 -5.941134950004246639e+04 1.375999999999999890e+00
-5.941134950004246639e+04 nan -1.000000000000000021e-03 1.000000000000000000e+03 -5.073719735423880047e+04 -5.074410660947611905e+04 1.560000000000000053e+00
-5.074410660947611905e+04 nan -2.000000000000000042e-03 1.000000000000000000e+03 -4.423814301977281139e+04 -4.424505327501012653e+04 2.439999999999999947e-01
-4.424505327501012653e+04 4.549453517827363612e+03 -3.000000000000000062e-03 1.000000000000000000e+03 -3.895924621257551189e+04 -3.896615746781283087e+04 1.850000000000000089e+00
-3.896615746781283087e+04 2.602587163576633884e+03 -4.000000000000000083e-03 1.000000000000000000e+03 -3.594193020283302758e+04 -3.594884245807034313e+04 6.560000000000000275e-01
-3.594884245807034313e+04 3.030017625453706387e+03 -5.000000000000000104e-03 1.000000000000000000e+03 -3.571779179309729079e+04 -3.572470504833460291e+04 1.731999999999999984e+00
-3.572470504833460291e+04 2.345050581147340381e+03 -6.000000000000000125e-03 1.000000000000000000e+03 -3.292440769260219531e+04 -3.293132194783951127e+04 1.284000000000000030e+00
-3.293132194783951127e+04 3.159695255965931665e+03 -7.000000000000000146e-03 1.000000000000000000e+03 -3.043086643504775566e+04 -3.043778169028507182e+04 9.400000000000000022e-02
-3.043778169028507182e+04 3.745638573884231391e+03 -8.000000000000000167e-03 1.000000000000000000e+03 -2.943213129948144342e+04 -2.943904755471875978e+04 1.002000000000000002e+00
-2.943904755471875978e+04 3.991626270091792321e+03 -9.000000000000001055e-03 1.000000000000000000e+03 -2.235283288910459305e+04 -2.235975014434190962e+04 1.459999999999999964e+00
-2.235975014434190962e+04 5.849669293096721049e+03 -1.000000000000000194e-02 1.000000000000000000e+03 -1.925895197321957676e+04 -1.926587022845689353e+04 1.719999999999999973e+00
-1.926587022845689353e+04 4.541611057109359535e+03 -1.100000000000000283e-02 1.000000000000000000e+03 -1.916509781310061589e+04 -1.917201706833793287e+04 8.659999999999999920e-01
-1.917201706833793287e+04 3.987369024868442921e+03 -1.200000000000000372e-02 1.000000000000000000e+03 -1.895827279958681538e+04 -1.896519305482413256e+04 1.516000000000000014e+00
-1.896519305482413256e+04 2.941640298506873023e+03 -1.300000000000000461e-02 1.000000000000000000e+03 -1.789557234370780498e+04 -1.790249359894511872e+04 1.911999999999999922e+00
-1.790249359894511872e+04 1.233024732902066035e+03 -1.400000000000000550e-02 1.000000000000000000e+03 -1.726389333267953043e+04 -1.727081558791684438e+04 6.999999999999999556e-01
-1.727081558791684438e+04 6.711885807255828240e+02 -1.500000000000000638e-02 1.000000000000000000e+03 -1.590081264886858662e+04 -1.590773590410590259e+04 2.600000000000000089e-01
-1.590773590410590259e+04 5.075213774358097680e+02 -1.600000000000000727e-02 1.000000000000000000e+03 -1.509246414863740210e+04 -1.509938840387471828e+04 1.167999999999999927e+00
-1.509938840387471828e+04 6.298312314406130099e+02 -1.700000000000000816e-02 1.000000000000000000e+03 -1.467020224139963466e+04 -1.467712749663695104e+04 1.042000000000000037e+00
-1.467712749663695104e+04 5.802659333003713300e+02 -1.800000000000000905e-02 1.000000000000000000e+03 -1.419684433765738686e+04 -1.420377059289470162e+04 1.383999999999999897e+00
-1.420377059289470162e+04 6.781679263399033744e+02 -1.900000000000000994e-02 1.000000000000000000e+03 -1.392996979488816396e+04 -1.393689705012547893e+04 5.100000000000000089e-01
-1.393689705012547893e+04 2.735052518548719149e+02 -2.000000000000001082e-02 1.000000000000000000e+03 -1.378889843433286478e+04 -1.379582668957017995e+04 1.200000000000000025e-02
-1.379582668957017995e+04 2.427141178468279463e+02 -2.100000000000001171e-02 1.000000000000000000e+03 -1.367128150183221442e+04 -1.367821075706952979e+04 1.199999999999999956e+00
-1.367821075706952979e+04 4.448636008500973560e+01 -2.200000000000001260e-02 1.000000000000000000e+03 -1.320578908051137478e+04 -1.321271933574869036e+04 7.500000000000000000e-01
-1.321271933574869036e+04 2.440340538995617408e+02 -2.300000000000001349e-02 1.000000000000000000e+03 -1.288280110552166298e+04 -1.288973236075897876e+04 9.979999999999999982e-01
-1.288973236075897876e+04 2.277380110154103363e+02 -2.400000000000001438e-02 1.000000000000000000e+03 -1.246699955239218434e+04 -1.247393180762950033e+04 1.776000000000000023e+00
-1.247393180762950033e+04 2.314865346900027987e+02 -2.500000000000001527e-02 1.000000000000000000e+03 -1.136780094091232968e+04 -1.137473419614964587e+04 9.200000000000000400e-01
-1.137473419614964587e+04 7.197934479713289875e+02 -2.600000000000001615e-02 1.000000000000000000e+03 -1.129693302135936938e+04 -1.130386727659668577e+04 1.552000000000000046e+00
-1.130386727659668577e+04 5.811863409726001919e+02 -2.700000000000001704e-02 1.000000000000000000e+03 -1.113877553448017170e+04 -1.114571078971748648e+04 1.397999999999999909e+00
-1.114571078971748648e+04 4.714635699827746294e+02 -2.800000000000001793e-02 1.000000000000000000e+03 -1.072285167901647037e+04 -1.072978793425378535e+04 1.233999999999999986e+00
-1.072978793425378535e+04 2.407302812316440850e+02 -2.900000000000001882e-02 1.000000000000000000e+03 -1.061691659668386092e+04 -1.062385385192117610e+04 2.400000000000000050e-02
-1.062385385192117610e+04 1.848088488728395760e+02 -3.000000000000001971e-02 1.000000000000000000e+03 -1.051228632875166113e+04 -1.051922458398897652e+04 1.500000000000000000e+00
-1.051922458398897652e+04 3.911433274236579649e+01 -3.100000000000002059e-02 1.000000000000000000e+03 -1.033005428154346737e+04 -1.033699353678078296e+04 4.000000000000000083e-02
-1.033699353678078296e+04 6.762820864826242939e+01 -3.200000000000002148e-02 1.000000000000000000e+03 -1.015272062130342420e+04 -1.015966087654073999e+04 4.219999999999999862e-01
-1.015966087654073999e+04 8.401101530732398714e+01 -3.300000000000002237e-02 1.000000000000000000e+03 -9.986720185762902474e+03 -9.993661441000218474e+03 3.400000000000000244e-01
-9.993661441000218474e+03 1.056978403209310926e+02 -3.400000000000002326e-02 1.000000000000000000e+03 -9.856129860105942498e+03 -9.863072115343258702e+03 1.229999999999999982e+00
-9.863072115343258702e+03 9.050759161984107948e+01 -3.500000000000002415e-02 1.000000000000000000e+03 -9.832286913919611834e+03 -9.839230169156928241e+03 1.669999999999999929e+00
-9.839230169156884585e+03 1.031121159904292739e+01 -3.600000000000002504e-02 1.000000000000000000e+03 -9.546421228403060013e+03 -9.553365483640374805e+03 1.721999999999999975e+00
-9.553365483640374805e+03 1.346633858706640297e+02 -3.700000000000002592e-02 1.000000000000000000e+03 -9.342015483641280298e+03 -9.348960738878595293e+03 1.600000000000000089e+00
-9.348960738878595293e+03 1.483209061136987827e+02 -3.800000000000002681e-02 1.000000000000000000e+03 -9.319240659526316449e+03 -9.326186914763631648e+03 5.500000000000000444e-01
-9.326186914763502500e+03 8.240548028473773456e+01 -3.900000000000002770e-02 1.000000000000000000e+03 -9.265918253717894913e+03 -9.272865508955210316e+03 6.999999999999999556e-01
-9.272865508955210316e+03 2.685786030133889213e+01 -4.000000000000002859e-02 1.000000000000000000e+03 -9.241361206681596741e+03 -9.248309461918912348e+03 2.260000000000000064e-01
-9.248309461918890520e+03 3.269283131085079219e+01 -4.100000000000002948e-02 1.000000000000000000e+03 -8.775277319216109390e+03 -8.782226574453425201e+03 3.980000000000000204e-01
-8.782226574453425201e+03 2.420390933942651088e+02 -4.200000000000003036e-02 1.000000000000000000e+03 -8.646683280061448386e+03 -8.653633535298764400e+03 1.991999999999999993e+00
-8.653633535298764400e+03 2.318238603134863638e+02 -4.300000000000003125e-02 1.000000000000000000e+03 -8.571496547646307590e+03 -8.578447802883623808e+03 4.979999999999999982e-01
-8.578447802883623808e+03 6.001502251701146662e+01 -4.400000000000003214e-02 1.000000000000000000e+03 -7.785619444409228890e+03 -7.792571699646544403e+03 4.099999999999999756e-01
-7.792571699646544403e+03 2.926387695147843147e+02 -4.500000000000003303e-02 1.000000000000000000e+03 -7.704888174371838431e+03 -7.711841429609154147e+03 1.000000000000000021e-02
-7.711841429609154147e+03 3.513292824581517948e+01 -4.600000000000003392e-02 1.000000000000000000e+03 -7.380413857259378346e+03 -7.387368112496694266e+03 1.810000000000000053e+00
-7.387368112496694266e+03 1.639698924534791047e+02 -4.700000000000003481e-02 1.000000000000000000e+03 -7.256096661124475759e+03 -7.263051916361790973e+03 7.019999999999999574e-01
-7.263051916361790973e+03 1.478085540891332528e+02 -4.800000000000003569e-02 1.000000000000000000e+03 -7.135155294330746983e+03 -7.142111549568062401e+03 2.640000000000000124e-01
-7.142111549568062401e+03 9.288396255588111217e+01 -4.900000000000003658e-02 1.000000000000000000e+03 -6.983421271057657577e+03 -6.990378526294973199e+03 3.360000000000000209e-01
-6.990378526294973199e+03 1.454722356603052731e+02 -5.000000000000003747e-02 1.000000000000000000e+03 -6.899736027045168157e+03 -6.906694282282483982e+03 1.239999999999999991e-01
-6.906694282282483982e+03 8.425392016009409701e+01 -5.100000000000003836e-02 1.000000000000000000e+03 -6.603609172770988152e+03 -6.610568428008303272e+03 9.799999999999999822e-01
-6.610568428008303272e+03 1.776633383555283388e+02 -5.200000000000003925e-02 1.000000000000000000e+03 -6.602732976176169359e+03 -6.609693231413484682e+03 4.600000000000000200e-01
-6.609344844669605664e+03 8.170686487932979958e+01 -5.300000000000004013e-02 1.000000000000000000e+03 -6.507865877615139652e+03 -6.514827132852455179e+03 4.959999999999999964e-01
-6.514827132852455179e+03 1.036457218230781052e+02 -5.400000000000004102e-02 1.000000000000000000e+03 -6.438758613865661573e+03 -6.445720869102977304e+03 5.160000000000000142e-01
-6.445720869102977304e+03 1.209668449570302045e+02 -5.500000000000004191e-02 1.000000000000000000e+03 -6.329430365537399666e+03 -6.336393620774715600e+03 1.980000000000000093e-01
-6.336393620774715600e+03 1.255755986841226246e+02 -5.600000000000004280e-02 1.000000000000000000e+03 -6.182322089048549060e+03 -6.189286344285864288e+03 1.264000000000000012e+00
-6.189286344285864288e+03 9.506470384763120762e+01 -5.700000000000004369e-02 1.000000000000000000e+03 -6.145278976709795643e+03 -6.152244231947111075e+03 1.284000000000000030e+00
