logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 1.000000000000000000e+03 -2.306472485204602708e+05 -2.306541567756976001e+05 2.400000000000000050e-02
-2.306541567756976001e+05 nan -1.000000000000000021e-03 1.000000000000000000e+03 -2.304716928448264080e+05 -2.304786021000637265e+05 2.780000000000000249e-01
-2.304786021000637265e+05 nan -2.000000000000000042e-03 1.000000000000000000e+03 -2.296271319860627700e+05 -2.296340422413000779e+05 1.411999999999999922e+00
-2.296340422413000779e+05 nan -3.000000000000000062e-03 1.000000000000000000e+03 -2.292870379806882993e+05 -2.292939492359256255e+05 1.931999999999999940e+00
-2.292939492359256255e+05 1.265808933306441304e+02 -4.000000000000000083e-03 1.000000000000000000e+03 -2.286955338041656069e+05 -2.287024460594029224e+05 1.084000000000000075e+00
-2.287024460594029224e+05 2.560426942054219239e+02 -5.000000000000000104e-03 1.000000000000000000e+03 -2.261067124360759917e+05 -2.261136256913132966e+05 1.866000000000000103e+00
-2.261136256913132966e+05 1.298655589716129271e+03 -6.000000000000000125e-03 1.000000000000000000e+03 -2.260710152887524746e+05 -2.260779295439897978e+05 1.489999999999999991e+00
-2.260779295439897978e+05 1.223181478106305121e+03 -7.000000000000000146e-03 1.000000000000000000e+03 -2.260483752780283976e+05 -2.260552905332657101e+05 3.699999999999999956e-01
-2.260552905332655646e+05 1.099956996751949191e+03 -8.000000000000000167e-03 1.000000000000000000e+03 -2.251632235069180024e+05 -2.251701397621553042e+05 3.459999999999999742e-01
-2.251701397621553042e+05 1.128796916998968300e+03 -9.000000000000001055e-03 1.000000000000000000e+03 -2.247273984547242871e+05 -2.247343157099616074e+05 1.320000000000000062e+00
-2.247343157099616074e+05 3.800931273300190014e+02 -1.000000000000000194e-02 1.000000000000000000e+03 -2.235008714451686246e+05 -2.235077897004059341e+05 2.660000000000000142e-01
-2.235077897004059341e+05 4.576347758848546619e+02 -1.100000000000000283e-02 1.000000000000000000e+03 -2.228234968250333332e+05 -2.228304160802706610e+05 4.640000000000000235e-01
-2.228304160802706610e+05 6.799990023007555919e+02 -1.200000000000000372e-02 1.000000000000000000e+03 -2.219873588539700140e+05 -2.219942791092073312e+05 1.019999999999999934e-01
-2.219942791092073312e+05 7.793384677268237510e+02 -1.300000000000000461e-02 1.000000000000000000e+03 -2.173784458756000968e+05 -2.173853671308374032e+05 1.526000000000000023e+00
-2.173853671308374032e+05 2.280918439135398785e+03 -1.400000000000000550e-02 1.000000000000000000e+03 -2.172122062166294781e+05 -2.172191284718668030e+05 1.290000000000000036e+00
-2.172191284718668030e+05 1.756238297130585124e+03 -1.500000000000000638e-02 1.000000000000000000e+03 -2.155292224029658246e+05 -2.155361456582031387e+05 3.499999999999999778e-01
-2.155361456582031387e+05 8.852308549961634299e+02 -1.600000000000000727e-02 1.000000000000000000e+03 -2.155082961936698994e+05 -2.155152204489072028e+05 6.500000000000000222e-01
-2.155152204489063879e+05 5.150492756501454323e+02 -1.700000000000000816e-02 1.000000000000000000e+03 -2.150669055254219566e+05 -2.150738307806592784e+05 2.580000000000000071e-01
-2.150738307806592784e+05 6.387070566230669328e+02 -1.800000000000000905e-02 1.000000000000000000e+03 -2.138127428151085624e+05 -2.138196690703458735e+05 7.740000000000000213e-01
-2.138196690703458735e+05 6.197620463416842540e+02 -1.900000000000000994e-02 1.000000000000000000e+03 -2.124987552739053790e+05 -2.125056825291427085e+05 1.322000000000000064e+00
-2.125056825291427085e+05 9.575092353684678983e+02 -2.000000000000001082e-02 1.000000000000000000e+03 -2.111599962744156655e+05 -2.111669245296529843e+05 1.913999999999999924e+00
-2.111669245296529843e+05 1.561271127936728817e+03 -2.100000000000001171e-02 1.000000000000000000e+03 -2.106143205127797846e+05 -2.106212497680170927e+05 1.539999999999999980e-01
-2.106212497680170927e+05 1.407213267446017198e+03 -2.200000000000001260e-02 1.000000000000000000e+03 -2.101650158234830888e+05 -2.101719460787204152e+05 1.518000000000000016e+00
-2.101719460787204152e+05 1.571667074544934849e+03 -2.300000000000001349e-02 1.000000000000000000e+03 -2.096590789046735736e+05 -2.096660101599108893e+05 6.340000000000000080e-01
-2.096660101599108893e+05 1.137709382857934543e+03 -2.400000000000001438e-02 1.000000000000000000e+03 -2.094959816690050939e+05 -2.095029139242423989e+05 1.844000000000000083e+00
-2.095029139242423989e+05 1.178791282972390718e+03 -2.500000000000001527e-02 1.000000000000000000e+03 -2.094095924701000331e+05 -2.094165257253373566e+05 4.020000000000000240e-01
-2.094165257253373566e+05 8.645566330401860000e+01 -2.600000000000001615e-02 1.000000000000000000e+03 -2.069747232437001949e+05 -2.069816574989375076e+05 1.689999999999999947e+00
