logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 1.000000000000000000e+03 -7.050572812389814062e+05 -7.050641894942186773e+05 1.709999999999999964e+00
-7.050641894942186773e+05 nan -1.000000000000000021e-03 1.000000000000000000e+03 -5.128383079612150323e+05 -5.128452172164523508e+05 8.980000000000000204e-01
-5.128452172164523508e+05 nan -2.000000000000000042e-03 1.000000000000000000e+03 -4.496679136830741772e+05 -4.496748239383114851e+05 1.864000000000000101e+00
-4.496748239383114851e+05 6.951175458323633939e+04 -3.000000000000000062e-03 1.000000000000000000e+03 -4.216812238060195232e+05 -4.216881350612568203e+05 1.059999999999999970e-01
-4.216881350612568203e+05 2.582824309671821538e+04 -4.000000000000000083e-03 1.000000000000000000e+03 -3.689840755716137355e+05 -3.689909878268510220e+05 1.631999999999999895e+00
-3.689909878268510220e+05 2.765615834108290801e+04 -5.000000000000000104e-03 1.000000000000000000e+03 -3.273685441166690434e+05 -3.273754573719063774e+05 6.219999999999999973e-01
-3.273754573719063774e+05 2.847734163441797864e+04 -6.000000000000000125e-03 1.000000000000000000e+03 -2.297012468523169518e+05 -2.297081611075542751e+05 4.480000000000000093e-01
-2.297081611075542751e+05 6.182786273681353487e+04 -7.000000000000000146e-03 1.000000000000000000e+03 -2.152042249918170273e+05 -2.152111402470543399e+05 1.157999999999999918e+00
-2.152111402470543399e+05 4.620141405494982610e+04 -8.000000000000000167e-03 1.000000000000000000e+03 -2.148550734075582586e+05 -2.148619896627955604e+05 1.772000000000000020e+00
-2.148619896627955604e+05 1.188905907741765633e+00 -9.000000000000001055e-03 1.000000000000000000e+03 -1.861196337520085508e+05 -1.861265510072458710e+05 1.116000000000000103e+00
-1.861265510072458710e+05 1.354647319899999638e+04 -1.000000000000000194e-02 1.000000000000000000e+03 -1.773253629779190815e+05 -1.773322812331563910e+05 1.483999999999999986e+00
-1.773322812331563910e+05 2.430075423809016229e+03 -1.100000000000000283e-02 1.000000000000000000e+03 -1.555901160343925003e+05 -1.555970352896298282e+05 6.400000000000000133e-01
-1.555970352896298282e+05 8.100468942306791178e+03 -1.200000000000000372e-02 1.000000000000000000e+03 -1.488523758934434154e+05 -1.488592961486807326e+05 1.354000000000000092e+00
-1.488592961486807326e+05 3.175937848942167875e+03 -1.300000000000000461e-02 1.000000000000000000e+03 -1.383799210798329150e+05 -1.383868423350702215e+05 1.629999999999999893e+00
-1.383868423350702215e+05 5.163153053401241777e+03 -1.400000000000000550e-02 1.000000000000000000e+03 -1.346403811597505701e+05 -1.346473034149878949e+05 4.460000000000000075e-01
-1.346473034149878949e+05 5.667590766545813494e+03 -1.500000000000000638e-02 1.000000000000000000e+03 -1.229078812919119810e+05 -1.229148045471492951e+05 1.395999999999999908e+00
-1.229148045471492951e+05 1.047282440578923342e+04 -1.600000000000000727e-02 1.000000000000000000e+03 -1.208937827518240229e+05 -1.209007070070613408e+05 8.400000000000000522e-02
-1.209007070070613408e+05 8.619932784312406511e+03 -1.700000000000000816e-02 1.000000000000000000e+03 -1.083468543386284146e+05 -1.083537795938657364e+05 1.090000000000000080e+00
-1.083537795938657364e+05 5.433146836549983163e+03 -1.800000000000000905e-02 1.000000000000000000e+03 -1.056477347816485708e+05 -1.056546610368858819e+05 4.179999999999999827e-01
-1.056546610368858819e+05 1.168813151997414025e+03 -1.900000000000000994e-02 1.000000000000000000e+03 -1.016639507779488631e+05 -1.016708780331861781e+05 1.385999999999999899e+00
-1.016708780331861781e+05 1.724796523489005722e+03 -2.000000000000001082e-02 1.000000000000000000e+03 -9.090759565229236614e+04 -9.091452390752968495e+04 1.552000000000000046e+00
-9.091452390752968495e+04 6.118830263862281754e+03 -2.100000000000001171e-02 1.000000000000000000e+03 -8.793272416459443048e+04 -8.793965341983175313e+04 1.997999999999999998e+00
-8.793965341983175313e+04 5.723822769536165652e+03 -2.200000000000001260e-02 1.000000000000000000e+03 -8.568473755151381192e+04 -8.569166780675112386e+04 1.189999999999999947e+00
-8.569166780675112386e+04 6.487521677033114429e+03 -2.300000000000001349e-02 1.000000000000000000e+03 -8.326098755450190220e+04 -8.326791880973921798e+04 1.887999999999999901e+00
-8.326791880973921798e+04 7.491627217303398538e+03 -2.400000000000001438e-02 1.000000000000000000e+03 -8.245820241104421439e+04 -8.246513466628153401e+04 1.832000000000000073e+00
-8.246513466628153401e+04 2.313500980274571248e+03 -2.500000000000001527e-02 1.000000000000000000e+03 -7.637006730107803014e+04 -7.637700055631533905e+04 4.719999999999999751e-01
-7.637700055631533905e+04 3.118935006520187017e+03 -2.600000000000001615e-02 1.000000000000000000e+03 -7.564750084527482977e+04 -7.565443510051214253e+04 1.877999999999999892e+00
-7.565443510051214253e+04 2.982049899849852409e+03 -2.700000000000001704e-02 1.000000000000000000e+03 -7.448093953277288529e+04 -7.448787478801020188e+04 4.560000000000000164e-01
-7.448787478801020188e+04 2.800659405786763728e+03 -2.800000000000001793e-02 1.000000000000000000e+03 -7.399316079263025313e+04 -7.400009704786757356e+04 1.897999999999999909e+00
-7.400009704786757356e+04 7.057059660927520781e+02 -2.900000000000001882e-02 1.000000000000000000e+03 -6.942142198778312013e+04 -6.942835924302042986e+04 1.699999999999999956e+00
-6.942835924302042986e+04 2.589228942015014582e+03 -3.000000000000001971e-02 1.000000000000000000e+03 -6.779752154815572430e+04 -6.780445980339303787e+04 6.700000000000000400e-01
-6.780445980339303787e+04 1.734601947763055477e+03 -3.100000000000002059e-02 1.000000000000000000e+03 -6.487114142456835543e+04 -6.487808067980567284e+04 1.542000000000000037e+00
-6.487808067980567284e+04 2.582087599896158281e+03 -3.200000000000002148e-02 1.000000000000000000e+03 -6.263840542129286769e+04 -6.264534567653018166e+04 1.467999999999999972e+00
-6.264534567653018166e+04 1.051652028248197212e+03 -3.300000000000002237e-02 1.000000000000000000e+03 -5.794261142918890255e+04 -5.794955268442622037e+04 3.180000000000000049e-01
-5.794955268442622037e+04 2.414034103429783499e+03 -3.400000000000002326e-02 1.000000000000000000e+03 -5.787905269246910029e+04 -5.788599494770641468e+04 1.387999999999999901e+00
-5.788599494770641468e+04 1.311413285819906832e+03 -3.500000000000002415e-02 1.000000000000000000e+03 -5.456403971398642170e+04 -5.457098296922373993e+04 1.104000000000000092e+00
-5.457098296922373993e+04 2.438685115246087207e+03 -3.600000000000002504e-02 1.000000000000000000e+03 -5.345961395319167059e+04 -5.346655820842898538e+04 1.455999999999999961e+00
-5.346655820842898538e+04 2.634111093350336432e+03 -3.700000000000002592e-02 1.000000000000000000e+03 -5.286721496552963072e+04 -5.287416022076694935e+04 2.039999999999999869e-01
-5.287416022076694935e+04 6.315025567606436425e+02 -3.800000000000002681e-02 1.000000000000000000e+03 -5.277326253802535211e+04 -5.278020879326266731e+04 1.393999999999999906e+00
-5.278020879326266731e+04 5.084451942646730345e+02 -3.900000000000002770e-02 1.000000000000000000e+03 -5.274430885687135742e+04 -5.275125611210867646e+04 1.014000000000000012e+00
-5.275125611210867646e+04 5.194549959191383550e+02 -4.000000000000002859e-02 1.000000000000000000e+03 -5.226486486851961672e+04 -5.227181312375693233e+04 7.680000000000000160e-01
-5.227181312375693233e+04 3.576037827225839578e+02 -4.100000000000002948e-02 1.000000000000000000e+03 -5.222533934600193606e+04 -5.223228860123924824e+04 3.900000000000000133e-01
-5.223228860123924824e+04 3.550244855525071443e+02 -4.200000000000003036e-02 1.000000000000000000e+03 -5.168662207723207393e+04 -5.169357233246938995e+04 5.480000000000000426e-01
-5.169357233246938995e+04 1.486512873809784594e+02 -4.300000000000003125e-02 1.000000000000000000e+03 -5.084442805027773284e+04 -5.085137930551504542e+04 1.356000000000000094e+00
-5.085137930551504542e+04 3.970797758613309156e+02 -4.400000000000003214e-02 1.000000000000000000e+03 -4.942404975430923514e+04 -4.943100200954655156e+04 1.810000000000000053e+00
-4.943100200954655156e+04 9.016197471018780334e+02 -4.500000000000003303e-02 1.000000000000000000e+03 -4.793119997867985512e+04 -4.793815323391716811e+04 1.799999999999999933e-01
-4.793815323391716811e+04 1.439498728845102050e+03 -4.600000000000003392e-02 1.000000000000000000e+03 -4.710412152971859905e+04 -4.711107578495591588e+04 7.299999999999999822e-01
-4.711107578495591588e+04 1.366351842327948589e+03 -4.700000000000003481e-02 1.000000000000000000e+03 -4.601156420366219390e+04 -4.601851945889950730e+04 1.733999999999999986e+00
-4.601851945889950730e+04 1.010745665940579897e+03 -4.800000000000003569e-02 1.000000000000000000e+03 -4.560109022216892481e+04 -4.560804647740624205e+04 1.564000000000000057e+00
-4.560804647740624205e+04 5.565721866841402061e+02 -4.900000000000003658e-02 1.000000000000000000e+03 -4.381396832595144951e+04 -4.382092558118876332e+04 7.780000000000000249e-01
-4.382092558118876332e+04 9.948715071034703215e+02 -5.000000000000003747e-02 1.000000000000000000e+03 -4.298418136803749076e+04 -4.299113962327480840e+04 1.864000000000000101e+00
-4.299113962327480840e+04 7.476948618622022877e+02 -5.100000000000003836e-02 1.000000000000000000e+03 -4.241756333590667055e+04 -4.242452259114398476e+04 1.671999999999999931e+00
-4.242452259114398476e+04 2.664114479923223371e+02 -5.200000000000003925e-02 1.000000000000000000e+03 -4.131177525426613283e+04 -4.131873550950345088e+04 1.600000000000000033e-02
-4.131873550950345088e+04 5.770110438105901949e+02 -5.300000000000004013e-02 1.000000000000000000e+03 -3.995853319258297415e+04 -3.996549444782028877e+04 1.397999999999999909e+00
-3.996549444782028877e+04 1.045174719877097459e+03 -5.400000000000004102e-02 1.000000000000000000e+03 -3.904937876734179736e+04 -3.905634102257911582e+04 3.519999999999999796e-01
-3.905634102257911582e+04 6.695753056143720414e+02 -5.500000000000004191e-02 1.000000000000000000e+03 -3.903785192308404658e+04 -3.904481517832136160e+04 1.584000000000000075e+00
-3.904481516844976431e+04 2.532642665162952085e+02 -5.600000000000004280e-02 1.000000000000000000e+03 -3.894599376371503604e+04 -3.895295801895235491e+04 6.800000000000000488e-02
-3.895295801895235491e+04 2.693882367952532491e+02 -5.700000000000004369e-02 1.000000000000000000e+03 -3.684309138567603077e+04 -3.685005664091334620e+04 1.074000000000000066e+00
-3.685005664091334620e+04 1.147736257382523490e+03 -5.800000000000004458e-02 1.000000000000000000e+03 -3.549961276115070359e+04 -3.550657901638801559e+04 4.739999999999999769e-01
-3.550657901638801559e+04 6.335390168355290825e+02 -5.900000000000004546e-02 1.000000000000000000e+03 -3.503506629404061823e+04 -3.504203354927793407e+04 1.092000000000000082e+00
-3.504203354927793407e+04 6.613637873113248133e+02 -6.000000000000004635e-02 1.000000000000000000e+03 -3.300738269437346025e+04 -3.301435094961077266e+04 1.175999999999999934e+00
-3.301435094961077266e+04 1.052735202329946560e+03 -6.100000000000004724e-02 1.000000000000000000e+03 -3.111992090434336569e+04 -3.112689015958068194e+04 1.846000000000000085e+00
-3.112689015958068194e+04 1.245939104887162330e+03 -6.200000000000004813e-02 1.000000000000000000e+03 -3.103501532779005720e+04 -3.104198558302737365e+04 1.439999999999999947e+00
-3.104198558302737365e+04 1.260613623331921644e+03 -6.300000000000004208e-02 1.000000000000000000e+03 -3.007336163585773465e+04 -3.008033289109505131e+04 5.779999999999999583e-01
-3.008033289109505131e+04 8.359848156848278222e+02 -6.400000000000004297e-02 1.000000000000000000e+03 -2.982015324614892597e+04 -2.982712550138624283e+04 6.700000000000000400e-01
